Date,Open,High,Low,Close,Adj Close,Volume,Williams
2021-08-01,132.429993,132.630005,130.229996,132.050003,129.592987,105158200,-90.79409897944379
2021-08-02,136.029999,136.960007,134.919998,136.910004,134.563324,71297200,-66.21139783279769
2021-08-03,120.93,121.0,116.209999,116.360001,114.365562,154376600,-99.55383109275749
2021-08-04,128.949997,130.389999,128.520004,130.360001,128.125565,88844600,-57.91195497513784
2021-08-06,126.599998,128.460007,126.209999,126.739998,124.779236,74403800,-68.67936329452439
2021-08-07,141.580002,144.059998,140.669998,143.240005,141.023972,105575500,-19.60141704924895
2021-08-09,156.979996,157.039993,153.979996,155.110001,152.939148,74420200,-4.726897584163245
2021-08-10,144.029999,144.179993,142.559998,142.899994,140.900009,58773200,-34.63140112144031
2021-08-11,151.410004,151.570007,150.160004,150.440002,148.55098,55020900,-16.164565196850177
2021-08-12,172.130005,175.960007,170.699997,175.080002,172.881592,116998900,-1.4728115182846218
2021-08-13,148.970001,149.440002,148.270004,149.100006,147.01326,59375000,-44.953970550095974
2021-08-16,148.539993,151.190002,146.470001,151.119995,149.004959,103296000,-41.57323627471314
2021-08-17,150.229996,151.679993,149.089996,150.190002,148.087997,92229700,-43.12970970648238
2021-08-18,149.800003,150.720001,146.149994,146.360001,144.311569,86326000,-49.53975236287832
2021-08-19,145.029999,148.0,144.5,146.699997,144.646835,86960300,-48.970721476723476
2021-08-20,147.440002,148.5,146.779999,148.190002,146.115982,60549600,-46.47698959303905
2021-08-23,148.309998,150.190002,147.889999,149.710007,147.614716,60131800,-52.76381061084453
2021-08-24,149.449997,150.860001,149.149994,149.619995,147.52597,48606400,-52.94473922496657
2021-08-25,149.809998,150.320007,147.800003,148.360001,146.283585,58991300,-78.20912145417697
2021-08-26,148.350006,149.119995,147.509995,147.539993,145.475082,48597200,-85.08983934704926
2021-08-27,147.479996,148.75,146.830002,148.600006,146.520264,55802400,-81.91614858546893
2021-08-30,149.0,153.490005,148.610001,153.119995,150.976974,90956700,-72.6001491353769
2021-08-31,152.660004,152.800003,151.289993,151.830002,149.705032,86453100,-76.70057098207255
2021-09-02,136.619995,137.880005,135.850006,136.009995,133.678757,76774200,-99.09303282840324
2021-09-03,119.029999,122.059998,118.790001,121.089996,119.014473,129525800,-93.3717730983547
2021-09-04,129.800003,133.039993,129.470001,133.0,130.720352,106686700,-59.04899895688773
2021-09-06,127.209999,127.75,126.519997,127.129997,125.1632,56877900,-75.96543216536804
2021-09-07,142.75,145.649994,142.649994,145.110001,142.865036,99890800,-24.149864651312395
2021-09-08,146.199997,146.699997,145.520004,146.089996,144.045364,48908700,-21.325671893294263
2021-09-09,155.490005,156.110001,153.949997,154.070007,151.913712,57305700,-5.466221864951787
2021-09-11,150.199997,151.429993,150.059998,150.809998,148.916336,56787900,-14.201508574490896
2021-09-12,174.910004,176.75,173.919998,174.559998,172.368118,108923700,-3.778471424749322
2021-09-13,150.630005,151.419998,148.75,149.550003,147.456955,102404300,-46.92891212782801
2021-09-14,150.350006,151.070007,146.910004,148.119995,146.046951,109296300,-49.39614474458499
2021-09-15,148.559998,149.440002,146.369995,149.029999,146.944199,83281300,-47.82608950700637
2021-09-16,148.440002,148.970001,147.220001,148.789993,146.707565,68034100,-48.24017854106587
2021-09-17,148.820007,148.820007,145.759995,146.059998,144.015762,129868800,-52.95031492322834
2021-09-20,143.800003,144.839996,141.270004,142.940002,140.939468,123478900,-58.333330889118905
2021-09-21,143.929993,144.600006,142.779999,143.429993,141.422577,75834000,-66.33486961965741
2021-09-22,144.449997,146.429993,143.699997,145.850006,143.808731,76404300,-61.51700608100699
2021-09-23,146.649994,147.080002,145.639999,146.830002,144.775024,64838200,-84.32920341930138
2021-09-24,145.660004,147.470001,145.559998,146.919998,144.863724,53477900,-84.07555062858522
2021-09-27,145.470001,145.960007,143.820007,145.369995,143.335464,74150700,-88.44421797567286
2021-09-28,143.25,144.75,141.690002,141.910004,139.923874,108972300,-98.19616665120259
2021-09-29,142.470001,144.449997,142.029999,142.830002,140.830978,74602000,-95.60316184928541
2021-09-30,143.660004,144.380005,141.279999,141.5,139.519592,89056700,-97.73402821715953
2021-10-02,136.479996,136.990005,134.399994,135.389999,133.069382,73046600,-94.0611623998134
2021-10-03,121.690002,122.169998,119.449997,119.980003,117.923515,111943300,-98.23272453605793
2021-10-05,129.410004,129.539993,126.809998,126.849998,124.887527,88071200,-74.93224933167352
2021-10-06,127.019997,128.190002,125.940002,126.110001,124.158981,71186400,-77.32379389724417
2021-10-08,146.440002,147.710007,145.300003,145.600006,143.562225,69023100,-7.466384477570896
2021-10-09,155.0,155.479996,148.699997,148.970001,146.88504,140893200,-18.068263060456935
2021-10-11,150.020004,150.130005,147.850006,147.919998,146.062622,65187100,-20.9825096026231
2021-10-12,175.210007,179.630005,174.690002,179.449997,177.196686,115402700,-0.2991159456143891
2021-10-13,141.240005,141.399994,139.199997,140.910004,138.937881,78762700,-64.34030550477829
2021-10-14,142.110001,143.880005,141.509995,143.759995,141.74794,69907100,-59.604528467327555
2021-10-15,143.770004,144.899994,143.509995,144.839996,142.812836,67940300,-57.8099108926672
2021-10-18,143.449997,146.839996,143.160004,146.550003,144.498947,85589200,-54.96842406534741
2021-10-19,147.009995,149.169998,146.550003,148.759995,146.678009,76378900,-51.29612146279542
2021-10-20,148.699997,149.75,148.119995,149.259995,147.17099,58418800,-50.4652807623422
2021-10-21,148.809998,149.639999,147.869995,149.479996,147.387909,61421000,-50.09970919246139
2021-10-22,149.690002,150.179993,148.639999,148.690002,146.608978,58883400,-57.627121011708674
2021-10-25,148.679993,149.369995,147.619995,148.639999,146.559692,50720600,-57.72025380590875
2021-10-26,149.330002,150.839996,149.009995,149.320007,147.230148,60893400,-74.96906258341575
2021-10-27,149.360001,149.729996,148.490005,148.850006,146.766754,56094900,-76.13156791856186
2021-10-28,149.820007,153.169998,149.720001,152.570007,150.434662,100077900,-66.93047896503012
2021-10-29,147.220001,149.940002,146.410004,149.800003,147.703461,124953200,-73.78183551188017
2021-11-01,129.190002,130.169998,128.5,128.979996,126.580109,100384500,-98.054333040481
2021-11-02,135.899994,136.389999,133.770004,135.130005,132.813858,64280000,-73.12523089787031
2021-11-03,122.540001,123.209999,121.260002,121.959999,119.869568,103026500,-97.80633943044056
2021-11-05,123.5,126.269997,122.769997,125.910004,123.962082,126142800,-85.42775749642838
2021-11-06,126.529999,127.440002,126.099998,127.349998,125.379799,53522400,-80.91508378753791
2021-11-08,146.050003,146.720001,145.529999,145.860001,143.818573,48493500,-22.908172724308656
2021-11-10,142.270004,144.809998,141.809998,142.809998,140.811249,64452200,-32.46631557083238
2021-11-11,148.960007,149.429993,147.679993,147.869995,146.013214,41000000,-16.609224896173615
2021-11-15,150.369995,151.880005,149.429993,150.0,148.11647,59222800,-9.934184886767122
2021-11-16,149.940002,151.490005,149.339996,151.0,149.103943,59256200,-6.800370642478279
2021-11-17,151.0,155.0,150.990005,153.490005,151.562683,88807000,-4.475385564634602
2021-11-18,153.710007,158.669998,153.050003,157.869995,155.88768,137827700,-2.138473898794333
